iteration,fitness,machines running,fitness,walkingpath
7,235.33999999999983,3,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 13, 14, 18, 21, 20, 17, 12, 17, 20, 13, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 3, 9, 8, 7, 5, 6, 1, 2, 3, 4, 3, 9, 16, 19, 22, 16, 9, 3, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 1, 6, 5, 7, 8, 6, 5, 6, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 10, 12, 13, 14, 18, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 1, 2, 3, 9, 16, 19, 22, 23, 22, 19, 15, 18, 14, 11, 7, 5, 7, 8, 9, 8, 6, 8, 9, 16, 22, 23, 21, 20, 17, 12, 13, 20, 21, 18, 15, 11, 7, 8, 6, 8, 7, 11, 15, 19, 22, 23, 21, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 18, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 12, 17, 20, 17, 12, 13, 14, 18, 21, 20, 21, 18, 15, 19, 22, 23, 21, 23, 22, 19, 15, 18, 21, 20, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 12, 17, 20, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
13,212.43599999999995,3,length,"[[0, 1, 0, 1, 2, 1, 0, 1, 2, 3, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 8, 9, 16, 22, 23, 21, 23, 22, 19, 15, 18, 21, 20, 17, 12, 10, 12, 13, 14, 18, 15, 11, 7, 8, 6, 5, 7, 8, 6, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 18, 14, 11, 7, 8, 6, 5, 6, 8, 9, 3, 4, 3, 2, 1, 0, 1, 2, 3, 2, 1, 0, 1, 6, 8, 7, 5, 6, 8, 9, 3, 4, 3, 9, 16, 19, 15, 18, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 23, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 5, 7, 5, 6, 1, 6, 5, 7, 8, 6, 1, 0, 1, 2, 3, 9, 8, 7, 11, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 1, 2, 3, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 20, 21, 23, 22, 19, 16, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 23, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 14, 11, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
35,185.89649999999986,3,length,"[[0, 1, 6, 5, 7, 8, 6, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 8, 7, 5, 6, 1, 6, 8, 9, 16, 22, 23, 22, 16, 9, 3, 4, 3, 9, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 8, 6, 5, 7, 11, 15, 19, 22, 16, 19, 15, 11, 7, 8, 9, 16, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 23, 22, 19, 15, 18, 14, 11, 7, 5, 6, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 13, 14, 13, 20, 17, 12, 10, 12, 10, 12, 13, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 17, 20, 13, 12, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 23, 22, 19, 15, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 11, 14, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 21, 23, 22, 19, 16, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
47,180.75449999999989,3,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 23, 22, 19, 15, 18, 14, 11, 15, 19, 16, 9, 8, 9, 16, 22, 23, 21, 18, 15, 11, 7, 5, 6, 1, 2, 3, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 20, 17, 12, 13, 20, 21, 18, 15, 19, 15, 11, 7, 5, 7, 8, 6, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 8, 9, 3, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 5, 7, 8, 6, 1, 0, 1, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 9, 3, 4, 3, 9, 8, 6, 8, 7, 11, 14, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 20, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 23, 22, 19, 15, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
53,157.80700000000002,3,length,"[[0, 1, 0, 1, 2, 1, 0, 1, 2, 3, 9, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 19, 15, 18, 14, 11, 7, 8, 6, 5, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 17, 20, 13, 20, 21, 23, 22, 19, 15, 11, 7, 5, 6, 1, 2, 3, 9, 16, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 5, 7, 8, 6, 1, 0, 1, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 20, 17, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 2, 3, 9, 16, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 4, 3, 2, 1, 0]]"
117,137.63200000000006,3,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 6, 8, 7, 11, 14, 18, 21, 20, 17, 20, 13, 12, 17, 12, 13, 14, 13, 20, 21, 20, 17, 12, 10, 12, 13, 14, 18, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 0, 1, 2, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 3, 9, 8, 7, 11, 15, 19, 16, 9, 3, 4, 3, 2, 1, 6, 5, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 5, 7, 8, 6, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 18, 14, 11, 7, 5, 6, 1, 0, 1, 2, 1, 0, 1, 2, 3, 9, 16, 22, 19, 15, 11, 7, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 13, 12, 17, 20, 17, 12, 13, 14, 13, 20, 17, 12, 13, 14, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
163,132.62700000000009,3,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 18, 15, 11, 7, 11, 15, 18, 14, 11, 15, 19, 22, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 8, 9, 3, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 0, 1, 2, 1, 0, 1, 6, 5, 7, 8, 6, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 22, 23, 21, 18, 15, 11, 14, 13, 12, 10, 12, 13, 14, 11, 7, 8, 6, 5, 7, 11, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 2, 3, 9, 16, 19, 22, 23, 21, 23, 22, 19, 15, 19, 16, 9, 8, 7, 5, 6, 1, 6, 5, 7, 8, 6, 5, 7, 8, 7, 11, 14, 18, 21, 20, 17, 12, 10, 12, 17, 20, 13, 14, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
283,107.09200000000004,3,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 8, 6, 5, 6, 8, 7, 11, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 1, 0, 1, 6, 1, 2, 3, 9, 16, 19, 22, 16, 19, 15, 18, 14, 11, 7, 5, 6, 1, 0, 1, 2, 3, 9, 8, 9, 16, 22, 19, 15, 19, 16, 9, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 18, 21, 23, 22, 19, 15, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
1212,104.98799999999996,3,length,"[[0, 1, 6, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 9, 16, 22, 19, 15, 11, 7, 5, 6, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 13, 14, 18, 21, 20, 17, 12, 10, 12, 17, 20, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 0, 1, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 8, 7, 8, 6, 5, 6, 1, 0, 1, 6, 8, 7, 11, 15, 18, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 1, 0]]"
1823,102.72700000000006,3,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 13, 12, 10, 12, 13, 14, 11, 7, 8, 6, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 0, 1, 2, 1, 0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 8, 6, 5, 7, 8, 9, 8, 7, 11, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 6, 5, 7, 5, 6, 1, 0, 1, 6, 8, 9, 3, 4, 3, 2, 3, 9, 16, 22, 19, 15, 11, 15, 18, 15, 18, 14, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
