Street A,Street B,Latitude,Longitude,Intersection type,Other type
HAYHANNIEMENTIE,KIVINIEMENTIE,61.0664725,28.0844121,GEOMETRIC_CENTER,intersection
HAYHANNIEMENTIE,LEPPANIEMENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,MUNTERONTIE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,NIETINLAHDENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,PERALANTIE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
HAYHANNIEMENTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
KIVINIEMENTIE,LEPPANIEMENTIE,61.0662678,28.0854542,GEOMETRIC_CENTER,intersection
KIVINIEMENTIE,MUNTERONTIE,61.92410999999999,25.7481511,APPROXIMATE,country
KIVINIEMENTIE,NIETINLAHDENTIE,61.066743,28.0836267,GEOMETRIC_CENTER,intersection
KIVINIEMENTIE,PERALANTIE,61.92410999999999,25.7481511,APPROXIMATE,country
KIVINIEMENTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
KIVINIEMENTIE,SKINNARILANKATU JATKE,61.05818499999999,28.1858206,ROOFTOP,establishment
KIVINIEMENTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
KIVINIEMENTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,MUNTERONTIE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,NIETINLAHDENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,PERALANTIE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
LEPPANIEMENTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,NIETINLAHDENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,PERALANTIE,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
MUNTERONTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
NIETINLAHDENTIE,PERALANTIE,61.92410999999999,25.7481511,APPROXIMATE,country
NIETINLAHDENTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
NIETINLAHDENTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
NIETINLAHDENTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
NIETINLAHDENTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
PERALANTIE,PIHLAJAMAENTIE,61.92410999999999,25.7481511,APPROXIMATE,country
PERALANTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
PERALANTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
PERALANTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
PIHLAJAMAENTIE,SKINNARILANKATU JATKE,61.92410999999999,25.7481511,APPROXIMATE,country
PIHLAJAMAENTIE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
PIHLAJAMAENTIE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
SKINNARILANKATU JATKE,TAPAVAINOLANTIE AJO KOULULLE,61.92410999999999,25.7481511,APPROXIMATE,country
SKINNARILANKATU JATKE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
TAPAVAINOLANTIE AJO KOULULLE,TORPPAKYLANTIE YKSITYINEN,61.92410999999999,25.7481511,APPROXIMATE,country
