iteration,fitness,machines running,fitness,walkingpath
10,153.58714285714285,1,time,"[[0, 1, 2, 1, 0, 1, 6, 8, 7, 5, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 3, 9, 8, 9, 8, 7, 11, 7, 8, 6, 5, 6, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 11, 14, 18, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
12,153.37028571428561,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 10, 12, 17, 20, 13, 12, 17, 12, 13, 14, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 7, 11, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 17, 12, 10, 12, 17, 20, 21, 23, 22, 16, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
20,123.67285714285713,1,time,"[[0, 1, 2, 3, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 16, 9, 16, 19, 22, 23, 21, 18, 14, 13, 20, 21, 23, 22, 16, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
26,122.5688571428571,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 15, 19, 15, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 17, 12, 13, 14, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 5, 7, 8, 6, 1, 0]]"
46,115.53857142857139,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 21, 18, 21, 23, 22, 19, 15, 18, 14, 13, 20, 17, 12, 10, 12, 13, 20, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
50,115.04828571428568,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 20, 21, 18, 15, 18, 14, 13, 12, 10, 12, 17, 20, 21, 23, 22, 19, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
297,114.82542857142855,1,time,"[[0, 1, 2, 3, 2, 1, 6, 8, 7, 11, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 18, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
662,114.82542857142852,1,time,"[[0, 1, 2, 3, 2, 1, 6, 8, 7, 11, 14, 18, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1192,114.58799999999998,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 23, 22, 19, 15, 11, 14, 18, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1728,113.10428571428571,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 5, 7, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
3946,110.49857142857141,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
89154,108.78428571428569,1,time,"[[0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
