iteration,fitness,machines running,walkingpath
10,86.48550000000003,2,"[[0, 1, 2, 3, 4, 3, 9, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 2, 1, 2, 3, 4, 3, 9, 8, 7, 11, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 19, 16, 9, 3, 2, 1, 0, 1, 0, 1, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 2, 1, 0]]"
23,73.163500000000013,2,"[[0, 1, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 19, 15, 11, 7, 8, 9, 3, 4, 3, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 1, 6, 5, 7, 8, 6, 5, 7, 11, 14, 18, 21, 20, 17, 12, 13, 14, 18, 15, 11, 14, 13, 20, 17, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 18, 21, 23, 21, 18, 15, 11, 14, 13, 12, 17, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
67,64.753999999999976,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 3, 2, 1, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 14, 11, 15, 19, 22, 23, 21, 18, 15, 18, 21, 20, 17, 12, 13, 14, 18, 21, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 3, 4, 3, 2, 1, 0]]"
142,55.987499999999969,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 20, 17, 20, 21, 18, 14, 13, 12, 10, 12, 17, 20, 13, 12, 17, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
143,50.173499999999969,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 4, 3, 9, 16, 19, 15, 18, 21, 23, 22, 19, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
452,50.011499999999984,2,"[[0, 1, 2, 3, 4, 3, 4, 3, 2, 1, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 20, 17, 12, 13, 14, 18, 21, 20, 17, 12, 10, 12, 13, 20, 21, 23, 22, 19, 15, 11, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
465,45.35749999999998,2,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 19, 15, 11, 7, 5, 6, 8, 9, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 2, 3, 4, 3, 2, 1, 0]]"
3131,44.739499999999985,2,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 19, 15, 11, 7, 5, 6, 8, 9, 3, 2, 1, 0], [0, 1, 0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
3379,44.727499999999985,2,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 3, 4, 3, 2, 1, 0]]"
5608,41.998999999999981,2,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 9, 8, 6, 5, 7, 11, 15, 11, 14, 18, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 3, 4, 3, 2, 1, 0]]"
