iteration,fitness,machines running,fitness,walkingpath
1,116.13899999999997,2,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 23, 22, 19, 15, 18, 14, 11, 7, 5, 6, 1, 6, 8, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 20, 17, 12, 13, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 22, 19, 15, 19, 16, 22, 23, 21, 18, 15, 11, 7, 8, 6, 5, 7, 11, 14, 13, 12, 10, 12, 17, 20, 13, 12, 17, 20, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 9, 3, 4, 3, 2, 1, 0]]"
4,105.42400000000008,2,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 14, 13, 12, 10, 12, 17, 20, 13, 14, 11, 7, 8, 6, 5, 7, 5, 6, 8, 9, 8, 7, 11, 15, 19, 16, 22, 23, 21, 20, 17, 12, 13, 20, 21, 18, 14, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 23, 22, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 1, 2, 3, 9, 8, 6, 5, 7, 8, 9, 16, 19, 15, 18, 21, 20, 17, 12, 10, 12, 13, 20, 21, 23, 22, 19, 15, 11, 14, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
28,99.169999999999916,2,length,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 18, 21, 20, 17, 12, 13, 20, 21, 18, 15, 19, 16, 9, 3, 4, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 22, 19, 15, 11, 7, 8, 6, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 8, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 14, 11, 7, 5, 6, 1, 0, 1, 6, 8, 7, 11, 15, 19, 15, 18, 21, 23, 22, 16, 19, 22, 23, 21, 20, 17, 12, 10, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 5, 7, 8, 6, 1, 0]]"
142,87.688000000000045,2,length,"[[0, 1, 6, 8, 7, 11, 7, 5, 6, 1, 0, 1, 6, 5, 7, 8, 7, 11, 14, 13, 12, 13, 14, 11, 15, 18, 14, 18, 21, 20, 13, 20, 17, 12, 10, 12, 17, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 8, 6, 8, 9, 16, 22, 19, 15, 11, 7, 5, 6, 8, 7, 11, 14, 13, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
239,80.225000000000009,2,length,"[[0, 1, 0, 1, 6, 5, 6, 8, 7, 11, 14, 13, 12, 17, 12, 10, 12, 13, 12, 17, 20, 13, 14, 18, 15, 19, 22, 16, 9, 8, 6, 5, 7, 5, 6, 8, 7, 11, 15, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 3, 4, 3, 2, 1, 6, 1, 2, 3, 9, 16, 22, 23, 21, 18, 14, 11, 7, 8, 9, 16, 19, 15, 18, 21, 20, 17, 12, 13, 20, 17, 20, 21, 23, 22, 19, 16, 9, 3, 4, 3, 2, 1, 0]]"
1956,78.375000000000014,2,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 19, 16, 9, 3, 4, 3, 2, 1, 0, 1, 6, 5, 7, 11, 14, 13, 12, 17, 20, 13, 20, 21, 23, 22, 19, 15, 11, 7, 8, 9, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 15, 19, 22, 19, 15, 18, 21, 20, 17, 12, 13, 14, 18, 15, 19, 22, 16, 9, 8, 6, 1, 2, 3, 9, 16, 22, 23, 21, 18, 14, 13, 12, 10, 12, 13, 14, 11, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
2062,76.808999999999997,2,length,"[[0, 1, 2, 3, 4, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 8, 6, 5, 7, 8, 9, 16, 22, 23, 21, 18, 15, 11, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 13, 14, 18, 21, 20, 17, 12, 17, 20, 13, 20, 21, 23, 22, 19, 15, 18, 14, 11, 7, 5, 6, 1, 0, 1, 6, 8, 7, 11, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
6838,72.536999999999978,2,length,"[[0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 9, 3, 4, 3, 9, 8, 6, 5, 7, 8, 9, 16, 22, 16, 9, 3, 2, 1, 0, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 13, 14, 13, 20, 17, 20, 13, 12, 17, 12, 10, 12, 13, 14, 18, 21, 20, 21, 18, 14, 11, 7, 11, 15, 18, 21, 23, 22, 19, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
23605,70.352999999999994,2,length,"[[0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 17, 12, 13, 14, 11, 7, 8, 6, 5, 7, 5, 6, 1, 0, 1, 6, 8, 7, 11, 15, 11, 7, 8, 6, 5, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0], [0, 1, 2, 3, 4, 3, 2, 1, 0, 1, 2, 3, 9, 8, 9, 16, 19, 22, 23, 21, 18, 15, 19, 16, 22, 19, 15, 18, 14, 13, 12, 10, 12, 17, 20, 13, 20, 21, 23, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
25286,63.920999999999999,2,length,"[[0, 1, 2, 3, 2, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 21, 20, 17, 12, 13, 20, 17, 12, 10, 12, 13, 14, 18, 15, 11, 7, 8, 6, 5, 7, 5, 6, 1, 0], [0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 14, 11, 15, 19, 16, 9, 3, 4, 3, 9, 8, 6, 8, 9, 16, 22, 19, 15, 18, 14, 13, 12, 17, 20, 21, 23, 22, 16, 9, 3, 4, 3, 4, 3, 2, 1, 0]]"
