iteration,fitness,machines running,fitness,walkingpath
1,147.0822857142856,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 12, 17, 20, 17, 12, 10, 12, 13, 20, 21, 23, 22, 16, 19, 15, 11, 7, 11, 14, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 4, 3, 2, 1, 0]]"
18,121.44257142857138,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 14, 13, 12, 17, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 7, 5, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
245,118.0208571428571,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 12, 13, 14, 11, 15, 18, 21, 20, 17, 20, 13, 14, 18, 21, 23, 22, 19, 15, 18, 14, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
255,117.60942857142855,1,time,"[[0, 1, 2, 3, 4, 3, 9, 16, 19, 22, 23, 21, 18, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 16, 9, 8, 7, 11, 14, 18, 15, 11, 7, 5, 6, 8, 7, 5, 7, 8, 6, 1, 2, 3, 4, 3, 2, 1, 0]]"
311,116.70085714285713,1,time,"[[0, 1, 2, 3, 4, 3, 2, 1, 6, 8, 7, 11, 14, 13, 12, 13, 20, 17, 12, 10, 12, 17, 20, 21, 18, 15, 11, 7, 5, 6, 5, 7, 8, 9, 16, 19, 22, 23, 21, 18, 14, 18, 15, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
413,115.24028571428568,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 17, 12, 13, 14, 18, 21, 20, 13, 14, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
1156,114.92142857142854,1,time,"[[0, 1, 2, 1, 6, 5, 7, 8, 6, 5, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 21, 23, 22, 19, 15, 18, 14, 18, 15, 11, 7, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2002,114.77742857142853,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2832,114.05742857142856,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 13, 12, 10, 12, 17, 20, 13, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 14, 18, 15, 11, 7, 5, 6, 5, 7, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2838,113.92714285714281,1,time,"[[0, 1, 2, 1, 6, 8, 7, 11, 14, 18, 14, 13, 12, 17, 12, 10, 12, 13, 20, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
2907,112.10999999999999,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 13, 20, 21, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
7983,112.08942857142856,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 17, 20, 21, 18, 15, 19, 22, 23, 21, 18, 14, 18, 15, 11, 7, 5, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
9048,110.13171428571428,1,time,"[[0, 1, 6, 8, 7, 11, 14, 13, 12, 17, 20, 13, 12, 10, 12, 13, 14, 18, 21, 23, 22, 19, 15, 18, 21, 20, 13, 14, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
387935,108.78428571428569,1,time,"[[0, 1, 6, 8, 7, 11, 14, 18, 21, 20, 13, 12, 10, 12, 17, 20, 13, 14, 18, 21, 23, 22, 19, 15, 18, 15, 11, 7, 5, 6, 8, 9, 16, 19, 22, 16, 9, 3, 4, 3, 2, 1, 0]]"
